Veh_No,BIWSOB,MC101,MC201,MC301,RF101,RF201,RF301,FF101,UB101,BS101,CL100,CL101,CL102,BS201,FI101,FO101,LS101,A metric,B metric,CL201,AS101,BS Audit,C metric,TRANSSOB,TRANS1,PAINT,TRANS2,GASOB,T1,T2,WT001,T3,T4,T5,C1,C2,C3,C4,PTI,DR,NF001,DF001,FI001,DC001,LV001,SI001,VFC,ATF,QC001,DVT,QC002,QC003,QC004,CAMO,BLT001,BLT002,WT002,WT003,D metric,RQA,GCA,GLD001,VehicleEOB,PACK1
1,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,-1,-1,198,198,-1,-1,0,120,1920,120,0,216,216,240,216,216,216,216,216,216,216,540,480,240,240,360,60,180,360,240,-1,120,120,540,180,480,240,-1,-1,240,240,-1,-1,-1,240,0,-1
2,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,150,150,198,198,-1,-1,0,120,1920,120,0,192,192,240,192,192,192,192,192,192,192,480,425,240,240,360,60,180,360,240,120,120,120,540,180,480,240,-1,-1,240,240,-1,-1,-1,240,0,-1
3,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,-1,-1,198,198,-1,-1,0,120,1920,120,0,168,168,240,168,168,168,168,168,168,168,425,375,240,240,360,60,180,360,240,120,120,120,540,180,480,240,-1,-1,240,240,-1,-1,-1,240,0,-1
4,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,-1,-1,198,198,240,-1,0,120,1920,120,0,144,144,144,144,144,144,144,144,144,180,180,240,240,240,360,60,180,360,240,120,120,120,540,180,480,240,-1,-1,240,240,-1,-1,-1,240,0,-1
5,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,150,150,198,198,-1,120,0,120,1920,120,0,144,144,144,144,144,144,144,144,144,180,180,240,240,240,360,60,180,360,240,120,120,120,540,180,480,240,960,480,240,240,720,-1,1440,240,0,-1
6,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,-1,-1,198,198,-1,-1,0,120,1920,120,0,144,144,144,144,144,144,144,144,144,180,180,240,240,240,360,60,180,360,240,120,120,120,540,180,480,240,-1,-1,240,240,-1,240,-1,240,0,-1
7,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,-1,-1,198,198,-1,-1,0,120,1920,120,0,144,144,144,144,144,144,144,144,144,180,180,240,240,240,360,60,180,360,240,-1,120,120,540,180,480,240,-1,-1,240,240,-1,-1,-1,240,0,-1
8,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,-1,-1,198,198,-1,-1,0,120,1920,120,0,144,144,144,144,144,144,144,144,144,180,180,240,240,240,360,60,180,360,240,-1,120,120,540,180,480,240,-1,-1,240,240,-1,240,-1,240,0,2400
9,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,-1,-1,198,198,-1,-1,0,120,1920,120,0,144,144,144,144,144,144,144,144,144,180,180,240,240,240,360,60,180,360,240,-1,120,120,540,180,480,240,-1,-1,240,240,-1,-1,-1,240,0,-1
10,0,198,198,198,198,198,198,198,198,198,24,198,198,198,198,198,49,-1,-1,198,198,-1,-1,0,120,1920,120,0,144,144,144,144,144,144,144,144,144,180,180,240,240,240,360,60,180,360,240,-1,120,120,540,180,480,240,-1,-1,240,240,-1,-1,-1,240,0,-1
