Veh_No,BIWSOB,MC101,MC201,MC301,RF101,RF201,RF301,FF101,UB101,BS101,CL100,CL101,CL102,BS201,FI101,FO101,LS101,A metric,B metric,CL201,AS101,BS Audit,C metric,TRANSSOB,TRANS1,PAINT,TRANS2,GASOB,T1,T2,WT001,T3,T4,T5,C1,C2,C3,C4,PTI,DR,NF001,DF001,FI001,DC001,LV001,SI001,VFC,ATF,QC001,DVT,QC002,QC003,QC004,CAMO,BLT001,BLT002,WT002,WT003,D metric,RQA,GCA,GLD001,VehicleEOB,PACK1
1,2018-10-01 08:30:00,2018-10-01 11:48:00,2018-10-01 15:06:00,2018-10-02 11:48:00,2018-10-01 11:48:00,2018-10-01 15:06:00,2018-10-02 11:48:00,2018-10-01 11:48:00,2018-10-02 15:06:00,2018-10-01 15:06:00,2018-10-01 15:30:00,2018-10-02 11:48:00,2018-10-02 15:06:00,2018-10-02 15:06:00,2018-10-03 11:48:00,2018-10-03 15:06:00,2018-10-03 15:55:30,-1,-1,2018-10-03 11:48:00,2018-10-03 11:48:00,-1,-1,2018-10-03 11:48:00,2018-10-03 13:48:00,2018-10-04 21:48:00,2018-10-05 10:30:00,2018-10-05 10:30:00,2018-10-05 14:06:00,2018-10-08 12:06:00,2018-10-08 16:06:00,2018-10-09 12:06:00,2018-10-09 15:42:00,2018-10-10 12:06:00,2018-10-10 15:42:00,2018-10-11 12:06:00,2018-10-11 15:42:00,2018-10-12 03:54:00,2018-10-05 19:30:00,2018-10-05 18:30:00,2018-10-12 07:54:00,2018-10-12 11:54:00,2018-10-12 17:54:00,2018-10-15 09:30:00,2018-10-15 12:30:00,2018-10-15 18:30:00,2018-10-16 12:30:00,-1,2018-10-16 14:30:00,2018-10-16 16:30:00,2018-10-17 17:30:00,2018-10-18 11:30:00,2018-10-18 19:30:00,2018-10-19 06:30:00,-1,-1,2018-10-18 15:30:00,2018-10-18 15:30:00,-1,-1,-1,2018-10-19 10:30:00,2018-10-19 10:30:00,-1
2,2018-10-05 08:30:00,2018-10-05 11:48:00,2018-10-05 15:06:00,2018-10-08 11:48:00,2018-10-05 11:48:00,2018-10-05 15:06:00,2018-10-08 11:48:00,2018-10-05 11:48:00,2018-10-08 15:06:00,2018-10-05 15:06:00,2018-10-05 15:30:00,2018-10-08 11:48:00,2018-10-08 15:06:00,2018-10-08 15:06:00,2018-10-09 11:48:00,2018-10-09 15:06:00,2018-10-09 15:55:30,2018-10-10 11:00:00,2018-10-10 11:00:00,2018-10-09 11:48:00,2018-10-10 14:18:00,-1,-1,2018-10-10 14:18:00,2018-10-10 16:18:00,2018-10-12 00:18:00,2018-10-12 02:18:00,2018-10-12 02:18:00,2018-10-12 05:30:00,2018-10-12 08:42:00,2018-10-12 12:42:00,2018-10-12 15:54:00,2018-10-15 11:42:00,2018-10-15 14:54:00,2018-10-16 11:42:00,2018-10-16 14:54:00,2018-10-17 11:42:00,2018-10-17 14:54:00,2018-10-12 10:18:00,2018-10-12 09:23:00,2018-10-18 12:30:00,2018-10-18 16:30:00,2018-10-19 08:30:00,2018-10-19 09:30:00,2018-10-19 12:30:00,2018-10-19 18:30:00,2018-10-22 12:30:00,2018-10-22 14:30:00,2018-10-22 16:30:00,2018-10-23 10:30:00,2018-10-23 19:30:00,2018-10-24 11:30:00,2018-10-24 19:30:00,2018-10-25 12:30:00,-1,-1,2018-10-24 15:30:00,2018-10-24 15:30:00,-1,-1,-1,2018-10-25 16:30:00,2018-10-26 08:30:00,-1
3,2018-10-08 08:30:00,2018-10-08 11:48:00,2018-10-08 15:06:00,2018-10-09 11:48:00,2018-10-08 11:48:00,2018-10-08 15:06:00,2018-10-09 11:48:00,2018-10-08 11:48:00,2018-10-09 15:06:00,2018-10-08 15:06:00,2018-10-08 15:30:00,2018-10-09 11:48:00,2018-10-09 15:06:00,2018-10-09 15:06:00,2018-10-10 11:48:00,2018-10-10 15:06:00,2018-10-10 15:55:30,-1,-1,2018-10-10 11:48:00,2018-10-10 11:48:00,-1,-1,2018-10-10 11:48:00,2018-10-10 13:48:00,2018-10-11 21:48:00,2018-10-12 02:18:00,2018-10-12 02:18:00,2018-10-12 05:06:00,2018-10-12 07:54:00,2018-10-12 11:54:00,2018-10-12 14:42:00,2018-10-15 11:18:00,2018-10-15 14:06:00,2018-10-16 11:18:00,2018-10-16 14:06:00,2018-10-17 11:18:00,2018-10-17 14:06:00,2018-10-12 09:23:00,2018-10-12 08:33:00,2018-10-18 12:30:00,2018-10-18 16:30:00,2018-10-19 08:30:00,2018-10-19 09:30:00,2018-10-19 12:30:00,2018-10-19 18:30:00,2018-10-22 12:30:00,2018-10-22 14:30:00,2018-10-22 16:30:00,2018-10-23 10:30:00,2018-10-23 19:30:00,2018-10-24 11:30:00,2018-10-24 19:30:00,2018-10-25 12:30:00,-1,-1,2018-10-24 15:30:00,2018-10-24 15:30:00,-1,-1,-1,2018-10-25 16:30:00,2018-10-26 08:30:00,-1
4,2018-10-10 08:30:00,2018-10-10 11:48:00,2018-10-10 15:06:00,2018-10-11 11:48:00,2018-10-10 11:48:00,2018-10-10 15:06:00,2018-10-11 11:48:00,2018-10-10 11:48:00,2018-10-11 15:06:00,2018-10-10 15:06:00,2018-10-10 15:30:00,2018-10-11 11:48:00,2018-10-11 15:06:00,2018-10-11 15:06:00,2018-10-12 03:36:00,2018-10-12 06:54:00,2018-10-12 07:43:30,-1,-1,2018-10-12 03:36:00,2018-10-12 03:36:00,2018-10-12 07:36:00,-1,2018-10-12 07:36:00,2018-10-12 09:36:00,2018-10-13 17:36:00,2018-10-15 10:30:00,2018-10-15 10:30:00,2018-10-15 12:54:00,2018-10-15 15:18:00,2018-10-16 10:54:00,2018-10-16 13:18:00,2018-10-16 15:42:00,2018-10-17 10:54:00,2018-10-17 13:18:00,2018-10-17 15:42:00,2018-10-18 10:54:00,2018-10-18 13:54:00,2018-10-15 13:30:00,2018-10-15 14:30:00,2018-10-19 06:30:00,2018-10-19 10:30:00,2018-10-19 16:30:00,2018-10-22 09:30:00,2018-10-22 12:30:00,2018-10-22 18:30:00,2018-10-23 12:30:00,2018-10-23 14:30:00,2018-10-23 16:30:00,2018-10-24 10:30:00,2018-10-24 19:30:00,2018-10-25 11:30:00,2018-10-25 19:30:00,2018-10-26 12:30:00,-1,-1,2018-10-25 15:30:00,2018-10-25 15:30:00,-1,-1,-1,2018-10-26 16:30:00,2018-10-29 08:30:00,-1
5,2018-10-11 08:30:00,2018-10-11 11:48:00,2018-10-11 15:06:00,2018-10-12 03:36:00,2018-10-11 11:48:00,2018-10-11 15:06:00,2018-10-12 03:36:00,2018-10-11 11:48:00,2018-10-12 06:54:00,2018-10-11 15:06:00,2018-10-11 15:30:00,2018-10-12 03:36:00,2018-10-12 06:54:00,2018-10-12 06:54:00,2018-10-12 10:12:00,2018-10-12 13:30:00,2018-10-12 14:19:30,2018-10-15 11:00:00,2018-10-15 11:00:00,2018-10-12 10:12:00,2018-10-15 14:18:00,-1,2018-10-15 16:18:00,2018-10-15 16:18:00,2018-10-15 18:18:00,2018-10-17 16:30:00,2018-10-18 10:30:00,2018-10-18 10:30:00,2018-10-18 12:54:00,2018-10-18 15:18:00,2018-10-19 04:54:00,2018-10-19 07:18:00,2018-10-19 09:42:00,2018-10-19 12:06:00,2018-10-19 14:30:00,2018-10-22 10:54:00,2018-10-22 13:18:00,2018-10-22 16:18:00,2018-10-18 13:30:00,2018-10-18 17:30:00,2018-10-23 12:30:00,2018-10-23 16:30:00,2018-10-24 14:30:00,2018-10-24 15:30:00,2018-10-25 11:30:00,2018-10-25 17:30:00,2018-10-26 12:30:00,2018-10-26 14:30:00,2018-10-26 16:30:00,2018-10-29 10:30:00,2018-10-29 19:30:00,2018-10-30 05:30:00,2018-10-30 13:30:00,2018-10-31 17:30:00,2018-10-19 02:30:00,2018-10-30 13:30:00,2018-10-30 09:30:00,2018-10-30 13:30:00,2018-10-31 01:30:00,-1,2018-10-31 13:30:00,2018-11-01 12:30:00,2018-11-01 12:30:00,-1
6,2018-10-12 08:30:00,2018-10-12 11:48:00,2018-10-12 15:06:00,2018-10-15 11:48:00,2018-10-12 11:48:00,2018-10-12 15:06:00,2018-10-15 11:48:00,2018-10-12 11:48:00,2018-10-15 15:06:00,2018-10-12 15:06:00,2018-10-12 15:30:00,2018-10-15 11:48:00,2018-10-15 15:06:00,2018-10-15 15:06:00,2018-10-16 11:48:00,2018-10-16 15:06:00,2018-10-16 15:55:30,-1,-1,2018-10-16 11:48:00,2018-10-16 11:48:00,-1,-1,2018-10-16 11:48:00,2018-10-16 13:48:00,2018-10-17 21:48:00,2018-10-18 10:30:00,2018-10-18 10:30:00,2018-10-18 12:54:00,2018-10-18 15:18:00,2018-10-19 04:54:00,2018-10-19 07:18:00,2018-10-19 09:42:00,2018-10-19 12:06:00,2018-10-19 14:30:00,2018-10-22 10:54:00,2018-10-22 13:18:00,2018-10-22 16:18:00,2018-10-18 13:30:00,2018-10-18 14:30:00,2018-10-23 12:30:00,2018-10-23 16:30:00,2018-10-24 14:30:00,2018-10-24 15:30:00,2018-10-25 11:30:00,2018-10-25 17:30:00,2018-10-26 12:30:00,2018-10-26 14:30:00,2018-10-26 16:30:00,2018-10-29 10:30:00,2018-10-29 19:30:00,2018-10-30 05:30:00,2018-10-30 13:30:00,2018-10-30 17:30:00,-1,-1,2018-10-30 09:30:00,2018-10-30 09:30:00,-1,2018-10-30 13:30:00,-1,2018-10-31 05:30:00,2018-10-31 05:30:00,-1
7,2018-10-13 08:30:00,2018-10-15 11:48:00,2018-10-15 15:06:00,2018-10-16 11:48:00,2018-10-15 11:48:00,2018-10-15 15:06:00,2018-10-16 11:48:00,2018-10-15 11:48:00,2018-10-16 15:06:00,2018-10-15 15:06:00,2018-10-15 15:30:00,2018-10-16 11:48:00,2018-10-16 15:06:00,2018-10-16 15:06:00,2018-10-17 11:48:00,2018-10-17 15:06:00,2018-10-17 15:55:30,-1,-1,2018-10-17 11:48:00,2018-10-17 11:48:00,-1,-1,2018-10-17 11:48:00,2018-10-17 13:48:00,2018-10-18 21:48:00,2018-10-19 04:30:00,2018-10-19 04:30:00,2018-10-19 06:54:00,2018-10-19 09:18:00,2018-10-19 11:42:00,2018-10-19 14:06:00,2018-10-19 16:30:00,2018-10-22 10:54:00,2018-10-22 13:18:00,2018-10-22 15:42:00,2018-10-23 10:54:00,2018-10-23 13:54:00,2018-10-19 07:30:00,2018-10-19 08:30:00,2018-10-24 12:30:00,2018-10-24 16:30:00,2018-10-25 14:30:00,2018-10-25 15:30:00,2018-10-26 11:30:00,2018-10-26 17:30:00,2018-10-29 12:30:00,-1,2018-10-29 14:30:00,2018-10-29 16:30:00,2018-10-30 11:30:00,2018-10-30 14:30:00,2018-10-30 22:30:00,2018-10-31 09:30:00,-1,-1,2018-10-31 05:30:00,2018-10-31 05:30:00,-1,-1,-1,2018-10-31 13:30:00,2018-10-31 13:30:00,-1
8,2018-10-14 08:30:00,2018-10-15 11:48:00,2018-10-15 15:06:00,2018-10-16 11:48:00,2018-10-15 11:48:00,2018-10-15 15:06:00,2018-10-16 11:48:00,2018-10-15 11:48:00,2018-10-16 15:06:00,2018-10-15 15:06:00,2018-10-15 15:30:00,2018-10-16 11:48:00,2018-10-16 15:06:00,2018-10-16 15:06:00,2018-10-17 11:48:00,2018-10-17 15:06:00,2018-10-17 15:55:30,-1,-1,2018-10-17 11:48:00,2018-10-17 11:48:00,-1,-1,2018-10-17 11:48:00,2018-10-17 13:48:00,2018-10-18 21:48:00,2018-10-19 04:30:00,2018-10-19 04:30:00,2018-10-19 06:54:00,2018-10-19 09:18:00,2018-10-19 11:42:00,2018-10-19 14:06:00,2018-10-19 16:30:00,2018-10-22 10:54:00,2018-10-22 13:18:00,2018-10-22 15:42:00,2018-10-23 10:54:00,2018-10-23 13:54:00,2018-10-19 07:30:00,2018-10-19 08:30:00,2018-10-24 12:30:00,2018-10-24 16:30:00,2018-10-25 14:30:00,2018-10-25 15:30:00,2018-10-26 11:30:00,2018-10-26 17:30:00,2018-10-29 12:30:00,-1,2018-10-29 14:30:00,2018-10-29 16:30:00,2018-10-30 11:30:00,2018-10-30 14:30:00,2018-10-30 22:30:00,2018-10-31 16:30:00,-1,-1,2018-10-31 05:30:00,2018-10-31 12:30:00,-1,2018-10-31 12:30:00,-1,2018-11-01 12:30:00,2018-11-01 12:30:00,2018-11-03 04:30:00
9,2018-10-15 08:30:00,2018-10-15 11:48:00,2018-10-15 15:06:00,2018-10-16 11:48:00,2018-10-15 11:48:00,2018-10-15 15:06:00,2018-10-16 11:48:00,2018-10-15 11:48:00,2018-10-16 15:06:00,2018-10-15 15:06:00,2018-10-15 15:54:00,2018-10-16 11:48:00,2018-10-16 15:06:00,2018-10-16 15:06:00,2018-10-17 11:48:00,2018-10-17 15:06:00,2018-10-18 09:19:30,-1,-1,2018-10-17 11:48:00,2018-10-17 11:48:00,-1,-1,2018-10-17 11:48:00,2018-10-17 13:48:00,2018-10-18 21:48:00,2018-10-19 04:30:00,2018-10-19 04:30:00,2018-10-19 06:54:00,2018-10-19 09:18:00,2018-10-22 10:54:00,2018-10-22 14:54:00,2018-10-23 10:54:00,2018-10-23 13:18:00,2018-10-23 15:42:00,2018-10-24 10:54:00,2018-10-24 13:18:00,2018-10-24 16:18:00,2018-10-19 07:30:00,2018-10-19 08:30:00,2018-10-25 12:30:00,2018-10-25 16:30:00,2018-10-26 14:30:00,2018-10-26 15:30:00,2018-10-29 11:30:00,2018-10-29 17:30:00,2018-10-30 06:30:00,-1,2018-10-30 08:30:00,2018-10-30 10:30:00,2018-10-30 19:30:00,2018-10-31 04:30:00,2018-10-31 12:30:00,2018-10-31 16:30:00,-1,-1,2018-10-31 08:30:00,2018-10-31 12:30:00,-1,-1,-1,2018-11-01 12:30:00,2018-11-01 12:30:00,-1
10,2018-10-16 08:30:00,2018-10-16 11:48:00,2018-10-16 15:06:00,2018-10-17 11:48:00,2018-10-16 11:48:00,2018-10-16 15:06:00,2018-10-17 11:48:00,2018-10-16 11:48:00,2018-10-17 15:06:00,2018-10-16 15:06:00,2018-10-16 15:30:00,2018-10-17 11:48:00,2018-10-17 15:06:00,2018-10-17 15:06:00,2018-10-18 11:48:00,2018-10-18 15:06:00,2018-10-18 15:55:30,-1,-1,2018-10-18 11:48:00,2018-10-18 11:48:00,-1,-1,2018-10-18 11:48:00,2018-10-18 13:48:00,2018-10-19 21:48:00,2018-10-22 10:30:00,2018-10-22 10:30:00,2018-10-22 12:54:00,2018-10-22 15:18:00,2018-10-23 10:54:00,2018-10-23 13:18:00,2018-10-23 15:42:00,2018-10-24 10:54:00,2018-10-24 13:18:00,2018-10-24 15:42:00,2018-10-25 10:54:00,2018-10-25 13:54:00,2018-10-22 13:30:00,2018-10-22 14:30:00,2018-10-26 12:30:00,2018-10-26 16:30:00,2018-10-29 14:30:00,2018-10-29 15:30:00,2018-10-30 05:30:00,2018-10-30 11:30:00,2018-10-30 15:30:00,-1,2018-10-31 03:30:00,2018-10-31 05:30:00,2018-10-31 14:30:00,2018-11-01 11:30:00,2018-11-01 19:30:00,2018-11-02 12:30:00,-1,-1,2018-11-01 15:30:00,2018-11-01 15:30:00,-1,-1,-1,2018-11-02 16:30:00,2018-11-05 08:30:00,-1
