Veh_No,MC101,MC201,MC301,RF101,RF201,RF301,FF101,UB101,BS101,CL100,CL101,CL102,BS201,FI101,FO101,LS101,A metric,B metric,CL201,AS101,BS Audit,C metric
1,198,396,678,198,396,1356,198,876,396,420,618,816,1014,1074,1272,1321,-1,-1,1212,1410,-1,-1
2,2118,2316,3558,2118,2316,4716,2118,3756,2316,2340,2538,3696,3894,3954,4152,4201,4386,4351,4092,4549,-1,-1
3,4518,4716,4998,4518,4716,5676,4518,5196,4716,4740,4938,5136,5334,5394,5592,5641,-1,-1,5532,5730,-1,-1
4,5478,5676,6918,5478,5676,8076,5478,7116,5676,5700,5898,7056,7254,7314,7512,7561,-1,-1,7452,7650,7890,-1
5,6918,7116,7398,6918,7116,8556,6918,7596,7116,7140,7338,7536,7734,7794,7992,8041,8226,8191,7932,8389,-1,8509
6,7398,7596,7878,7398,7596,8556,7398,8076,7596,7620,7818,8016,8214,8274,8472,8521,-1,-1,8412,8610,-1,-1
7,7878,8076,8358,7878,8076,9036,7878,8556,8076,8100,8298,8496,8694,8754,8952,9001,-1,-1,8892,9090,-1,-1
8,8358,8556,8838,8358,8556,10476,8358,9036,8556,8580,8778,8976,9174,9234,10392,10441,-1,-1,10332,10530,-1,-1
9,8838,9036,10278,8838,9036,10956,8838,10476,9036,9060,9258,10416,10614,10674,10872,10921,-1,-1,10812,11010,-1,-1
10,10278,10476,10758,10278,10476,11436,10278,10956,10476,10500,10698,10896,11094,11154,11352,11401,-1,-1,11292,11490,-1,-1
11,10758,10956,11238,10758,10956,11916,10758,11436,10956,10980,11178,11376,11574,11634,11832,11881,-1,-1,11772,11970,-1,-1
12,11238,11436,11718,11238,11436,13836,11238,11916,11436,11460,11658,11856,12054,12114,12312,12361,12546,12511,12252,13669,13909,13789
13,11718,11916,12198,11718,11916,13836,11718,12396,11916,11940,12138,12336,12534,12594,13752,13801,-1,-1,13692,13890,-1,-1
14,12198,12396,13638,12198,12396,14316,12198,13836,12396,12420,12618,13776,13974,14034,14232,14281,-1,-1,14172,14370,-1,-1
15,13638,13836,14118,13638,13836,15276,13638,14316,13836,13860,14058,14256,14454,14514,14712,14761,14946,14911,14652,15109,15349,15229
16,14118,14316,14598,14118,14316,15276,14118,14796,14316,14340,14538,14736,14934,14994,15192,15241,-1,-1,15132,15330,-1,-1
17,14598,14796,15078,14598,14796,17196,14598,15276,14796,14820,15018,15216,15414,15474,15672,15721,15906,15871,15612,17029,-1,17149
18,15078,15276,15558,15078,15276,17196,15078,15756,15276,15300,15498,15696,15894,15954,17112,17161,-1,-1,17052,17250,-1,-1
19,15558,15756,16998,15558,15756,18156,15558,17196,15756,15780,15978,17136,17334,17394,17592,17641,17826,17791,17532,17989,-1,-1
20,16998,17196,17478,16998,17196,18156,16998,17676,17196,17220,17418,17616,17814,17874,18072,18121,-1,-1,18012,18210,-1,-1
21,17478,17676,17958,17478,17676,18636,17478,18156,17676,17700,17898,18096,18294,18354,18552,18601,-1,-1,18492,18690,-1,-1
22,17958,18156,18438,17958,18156,19116,17958,18636,18156,18180,18378,18576,18774,18834,19032,19081,-1,-1,18972,19170,-1,-1
23,18438,18636,18918,18438,18636,21036,18438,19116,18636,18660,18858,19056,19254,19314,20472,20521,20706,20671,20412,20869,21109,20989
24,18918,19116,20358,18918,19116,21516,18918,20556,19116,19140,19338,20496,20694,20754,20952,21001,21186,21151,20892,21349,-1,-1
25,20358,20556,20838,20358,20556,21516,20358,21036,20556,20580,20778,20976,21174,21234,21432,21481,-1,-1,21372,21570,-1,-1
