Veh_No,MC101,MC201,MC301,RF101,RF201,RF301,FF101,UB101,BS101,CL100,CL101,CL102,BS201,FI101,FO101,LS101,A metric,B metric,CL201,AS101,BS Audit,C metric
1,0,198,480,0,198,1158,0,678,198,396,420,618,816,876,1074,1272,-1,-1,1014,1212,-1,-1
2,1920,2118,3360,1920,2118,4518,1920,3558,2118,2316,2340,3498,3696,3756,3954,4152,4236,4201,3894,4351,-1,-1
3,4320,4518,4800,4320,4518,5478,4320,4998,4518,4716,4740,4938,5136,5196,5394,5592,-1,-1,5334,5532,-1,-1
4,5280,5478,6720,5280,5478,7878,5280,6918,5478,5676,5700,6858,7056,7116,7314,7512,-1,-1,7254,7452,7650,-1
5,6720,6918,7200,6720,6918,8358,6720,7398,6918,7116,7140,7338,7536,7596,7794,7992,8076,8041,7734,8191,-1,8389
6,7200,7398,7680,7200,7398,8358,7200,7878,7398,7596,7620,7818,8016,8076,8274,8472,-1,-1,8214,8412,-1,-1
7,7680,7878,8160,7680,7878,8838,7680,8358,7878,8076,8100,8298,8496,8556,8754,8952,-1,-1,8694,8892,-1,-1
8,8160,8358,8640,8160,8358,10278,8160,8838,8358,8556,8580,8778,8976,9036,10194,10392,-1,-1,10134,10332,-1,-1
9,8640,8838,10080,8640,8838,10758,8640,10278,8838,9036,9060,10218,10416,10476,10674,10872,-1,-1,10614,10812,-1,-1
10,10080,10278,10560,10080,10278,11238,10080,10758,10278,10476,10500,10698,10896,10956,11154,11352,-1,-1,11094,11292,-1,-1
11,10560,10758,11040,10560,10758,11718,10560,11238,10758,10956,10980,11178,11376,11436,11634,11832,-1,-1,11574,11772,-1,-1
12,11040,11238,11520,11040,11238,13638,11040,11718,11238,11436,11460,11658,11856,11916,12114,12312,12396,12361,12054,13471,13669,13669
13,11520,11718,12000,11520,11718,13638,11520,12198,11718,11916,11940,12138,12336,12396,13554,13752,-1,-1,13494,13692,-1,-1
14,12000,12198,13440,12000,12198,14118,12000,13638,12198,12396,12420,13578,13776,13836,14034,14232,-1,-1,13974,14172,-1,-1
15,13440,13638,13920,13440,13638,15078,13440,14118,13638,13836,13860,14058,14256,14316,14514,14712,14796,14761,14454,14911,15109,15109
16,13920,14118,14400,13920,14118,15078,13920,14598,14118,14316,14340,14538,14736,14796,14994,15192,-1,-1,14934,15132,-1,-1
17,14400,14598,14880,14400,14598,16998,14400,15078,14598,14796,14820,15018,15216,15276,15474,15672,15756,15721,15414,16831,-1,17029
18,14880,15078,15360,14880,15078,16998,14880,15558,15078,15276,15300,15498,15696,15756,16914,17112,-1,-1,16854,17052,-1,-1
19,15360,15558,16800,15360,15558,17958,15360,16998,15558,15756,15780,16938,17136,17196,17394,17592,17676,17641,17334,17791,-1,-1
20,16800,16998,17280,16800,16998,17958,16800,17478,16998,17196,17220,17418,17616,17676,17874,18072,-1,-1,17814,18012,-1,-1
21,17280,17478,17760,17280,17478,18438,17280,17958,17478,17676,17700,17898,18096,18156,18354,18552,-1,-1,18294,18492,-1,-1
22,17760,17958,18240,17760,17958,18918,17760,18438,17958,18156,18180,18378,18576,18636,18834,19032,-1,-1,18774,18972,-1,-1
23,18240,18438,18720,18240,18438,20838,18240,18918,18438,18636,18660,18858,19056,19116,20274,20472,20556,20521,20214,20671,20869,20869
24,18720,18918,20160,18720,18918,21318,18720,20358,18918,19116,19140,20298,20496,20556,20754,20952,21036,21001,20694,21151,-1,-1
25,20160,20358,20640,20160,20358,21318,20160,20838,20358,20556,20580,20778,20976,21036,21234,21432,-1,-1,21174,21372,-1,-1
